Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
CL 315,Process Dynamics and Control,2,1,0,3,Mithun Radhakrishna(I+T),,,,"D1,D2
(10/102)","K1
(10/102)",,,,,,
CL 326,Integrated Chemical Engineering Lab-I,0,0,4.5,3,Biswajit Saha(L),,,,,,"J1,L1,N1
(CL Lab)",,,,,
CL XXX,Discipline Elective,,,,4,,,,,,,,,,,,
,Basic Science Elective,,,,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Chemical Engineering,,,,,,,,,,,,,,,,,
CL XXX,Discipline Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Civil Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
CE 301,Soil Mechanics,3,1,2,5,"Amit Prashant(I+T),Ajanta Sachan(L)",,,,"G1,G2
(7/103)","H2
(7/101)","L2,N2
(CE Lab)",,,,,
CE 312,Design of Steel Structures,3,1,0,4,Gaurav(I+T),,,,"D1,D2
(7/101)","B2
(7/210)",,,,,,
CE 310,Hydrology and Hydraulics,3,0,1.5,4,Pranab Kumar Mohapatra(I+L),,,,"C1,C2
(7/204)",,"J1
(7/204)",,,,,
CE 404,Transportation Engineering,3,0,0,4,Sushobhan Sen(I),,,,"F1,F2
(7/204)",,,CE 404 2026-27 Sem I Syllabus.docx,,,,
HS XXX,HSS Elective,3,0,0,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Civil Engineering,,,,,,,,,,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,BS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Computer Science and Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
CS 202,Software Tools and Techniques for CSE,1.5,0,3,4,Abhishek Bichhawat(I+L),,,,"D1
(Jayshree S Sheth Learning Theatre)",,"J2,M2
(10/203,10/204)",Course Plan,,,,
CS 330,Operating Systems,3,0,1.5,4,Balagopal Komarath(I+L),,,,"E1,E2
(Surendra C Sheth Learning Theatre)",,"H1
(10/203,10/204)",CS 301: OS - Aug 2026,,,,
CS 331,Computer Networks,3,1.5,0,4,Sameer G Kulkarni(I+T),,,,"G1,G2
(Surendra C Sheth Learning Theatre)","H2
(Surendra C Sheth Learning Theatre)",,Course Plan,,,,
CS 329,Foundations of AI: Multiagent Systems,3,0,0,4,Manisha Padala(I),,,,"C1,C2
(10/103)",,,Course Website,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,,
,BS Elective,,,,,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Computer Science and Engineering,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Electrical Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
EE 312,Engineering Electromagnetics,3,1,0,4,Ravi Hedge(I+T),,,,"G1,G2
(Jayshree S Sheth Learning Theatre)","H2
(7/208)",,,,,,
EE 322,Analog & Mixed Signal Circuits,2,1,1.5,4,Madhav Kiritkumar Pathak(I+L),,,,"C2,B2
(Surendra C Sheth Learning Theatre)",,"L2,K2
(EE Lab)",,,,,
EE 323,Digital Signal Processing,3,1.5,0,4,"Nithin George(I+T),Kartik Patel(T)",,,,"D1,D2
(Jagdish Patel Learning Theatre)","F1
(Jagdish Patel Learning Theatre,Harsha Patel Learning Theatre)",,Course Plan,,,,
EE 333,Power Electronics,2,1,1.5,4,Pallavi Bharadwaj(I+T+L),,,,"E1,E2
(Jagdish Patel Learning Theatre)","C1
(Harsha Patel Learning Theatre)","K1,P1,J2,P2
(EE Lab)",Course Plan,,,,
HS XXX,HSS Elective,3,0,0,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Electrical Engineering,,,,,,,,,,,,,,,,,
HS XXX,HSS Elective (choose from list below),,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Integrated Circuit Design & Technology,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
MSE 352,Material Characterization Techniques,1.5,0,3,4,Emila Panda(I+L),,,,"A1
(7/210)",,"L1,N1
(MSE Lab)",,,,,
,Discipline Elective #1,-,-,-,4,,,,,,,,,,,,
,Discipline Elective #2,-,-,-,4,,,,,,,,,,,,
ES XXX,Science Basket Course,-,-,-,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Mechanical Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
ES 245,Control Systems,3,1.5,0,4,Vineet Vashista(I+T),,,,"D1,D2
(Harsha Patel Learning Theatre)","H1
(Harsha Patel Learning Theatre)",,https://drive.google.com/file/d/16b4Jey_9XhKRdaFEoyUjCdtEDLl9gZtz/view?usp=sharing,,,,
ME 333,Mechanics of Materials,2,1,1,3,"Harini Subramanian(I+T),Ravi Sastri Ayyagari(T+L)",,,,"F1,F2
(7/208)","J2
(7/204,7/205)",,https://iitgnacin-my.sharepoint.com/:w:/g/personal/harini_subramanian_iitgn_ac_in/IQA3aYYcfycwTZ19p75hjFyLASY4KgNMHCupipwluzcyI50?e=90LUzj,,,,
ME 334,Heat and Mass Transfer,3,1,1,4,"Atul Bhargav(I+T),Soumyadip Sett(L)",,,,"C1,C2
(7/209)","B1
(Jagdish Patel Learning Theatre)","J1
(ME Lab)",,,,,
